Date,Type,Address,Latitude,Longitude,Link,Description
2014-01-01T20:51:00,Robbery,"1500 BLOCK OF W 200 S, SALT LAKE CITY, UT",40.7649791,-111.9336366,http://spotcrime.com/crime/47259156-3c5c4f530d70712d6873565724655cdc,ROBBERY - FORCIBLE PURSE SNATC
2014-01-01T04:43:00,Robbery,"1000 BLOCK OF S STATE ST, SALT LAKE CITY, UT",40.747257,-111.888683,http://spotcrime.com/crime/47259489-a3a1aefa7d9be0c11447dcd518c5512a,ROBBERY  CAR JACKING
2014-01-01T20:34:00,Theft,"1100 BLOCK OF E SOUTH TEMPLE ST, SALT LAKE CITY, UT",40.7693403,-111.8594709,http://spotcrime.com/crime/47259117-3b8ecd140699c083a50f8a8c5a74b882,STOLEN VEH  PASSENGER VEH
2014-01-01T17:47:00,Theft,"1600 BLOCK OF S FOOTHILL DR, SALT LAKE CITY, UT",40.7356196,-111.8221057,http://spotcrime.com/crime/47259169-1168cb830541c8223e2161cd02283091,LARCENY  SHOPLIFT
2014-01-01T15:40:00,Theft,"3200 BLOCK OF S RICHMOND ST, SALT LAKE CITY, UT",40.70134,-111.855129,http://spotcrime.com/crime/47259193-7976d6999ee36c762858c84562da8c52,LARCENY  SHOPLIFT
2014-01-01T15:19:00,Theft,"9200 BLOCK OF E 2100 S, SALT LAKE CITY, UT",40.7251634,-111.8591319,http://spotcrime.com/crime/47259198-7e52d4af7f65abe68972b44120f38191,LARCENY  SHOPLIFT
2014-01-01T14:21:00,Theft,"5300 BLOCK OF S MAIN ST, SALT LAKE CITY, UT",40.6566215,-111.8912542,http://spotcrime.com/crime/47259200-40a9a26809a6bda4613ec47b89617f3d,LARCENY  FREE TEXT
2014-01-01T13:26:00,Theft,"3200 BLOCK OF N 700 W, SALT LAKE CITY, UT",40.7932689,-111.9159263,http://spotcrime.com/crime/47259222-2b604366abf265baec72ba11b6800c7b,LARCENY  FROM YARDS
2014-01-01T12:26:00,Theft,"1400 BLOCK OF S STATE ST, SALT LAKE CITY, UT",40.739534,-111.888692,http://spotcrime.com/crime/47259233-8da3308dea6f85faffcde9d60a502577,FRAUD  FREE TEXT
2014-01-01T12:29:00,Theft,"3600 BLOCK OF E 1700 S, SALT LAKE CITY, UT",40.7335424,-111.8159559,http://spotcrime.com/crime/47259253-259c86796dfd301cf6ca4769558f275c,FRAUD  FREE TEXT
2014-01-01T09:27:00,Theft,"4600 BLOCK OF S EMERY ST, SALT LAKE CITY, UT",40.7502938,-111.9247214,http://spotcrime.com/crime/47259271-f8748eeb1adfca4c4280ef40f98d8e42,STOLEN VEH  FREE TEXT
2014-01-01T08:31:00,Theft,"6000 BLOCK OF W 200 S, SALT LAKE CITY, UT",40.6408628,-111.885288,http://spotcrime.com/crime/47259275-4cb04248e1fbaf479ab127db8ce21311,STOLEN VEH  PASSENGER VEH
2014-01-01T08:34:00,Theft,"1200 BLOCK OF N REDWOOD RD, SALT LAKE CITY, UT",40.797744,-111.937255,http://spotcrime.com/crime/47259285-d679f434b230af48943a66fca22b0bc3,STOLEN VEH  PASSENGER VEH
2014-01-01T04:31:00,Theft,"2900 BLOCK OF S HIGHLAND DR, SALT LAKE CITY, UT",40.7081212,-111.853728,http://spotcrime.com/crime/47259301-2e657221e953f80b9d163ea57cd637f8,LARCENY  FREE TEXT
2014-01-01T02:54:00,Theft,"6000 BLOCK OF E RAMONA AVE, SALT LAKE CITY, UT",40.7283315,-111.8596513,http://spotcrime.com/crime/47259322-05461137c49ff04ab00f406f0f657f35,LARCENY - PARTS/ACCESS/GAS/VEH
2014-01-01T16:13:00,Theft,"9100 BLOCK OF S QUARRY BEND DR, SALT LAKE CITY, UT",40.5849166,-111.8623937,http://spotcrime.com/crime/47259362-74246b76329aa8f73d9309a8f03e6a51,LARCENY  TILL TAP
2014-01-01T04:16:00,Theft,"0000, SALT LAKE CITY, UT",40.7380369,-111.9576514,http://spotcrime.com/crime/47259379-c2366a22871609b47d37571c31b1b9cc,FRAUD - ILLEGAL USE OF CREDIT
2014-01-01T01:16:00,Theft,"8000 BLOCK OF N 900 W, SALT LAKE CITY, UT",40.7845768,-111.9168413,http://spotcrime.com/crime/47259413-b523b912579603da0b10a6fc70f85d82,LARCENY  FREE TEXT
2014-01-01T22:12:00,Theft,"9300 BLOCK OF N 900 W, SALT LAKE CITY, UT",40.7845768,-111.9168413,http://spotcrime.com/crime/47277612-b324ff6d984eabbd00042aeac9c5e288,LARCENY  SHOPLIFT
2014-01-01T16:16:00,Theft,"5500 BLOCK OF W 9000 S, SALT LAKE CITY, UT",40.7380369,-111.9576514,http://spotcrime.com/crime/47277697-ab13faa76d6cfa47ac5ca5430c6b4185,LARCENY  FROM BUILDING
2014-01-01T09:26:00,Burglary,"1000 BLOCK OF S 800 E, SALT LAKE CITY, UT",40.7473677,-111.8681919,http://spotcrime.com/crime/47259274-97d4a6bebd4fcbbadf6e9b7475c21ec5,BURGLARY  FREE TEXT
2014-01-01T02:34:00,Burglary,"1200 BLOCK OF W 300 S, SALT LAKE CITY, UT",40.7628299,-111.9252173,http://spotcrime.com/crime/47259410-c1a967296c9ad2b7348ca608cf4dc646,BURGLARY - FORCED ENTRY RESIDE
2014-01-01T01:26:00,Burglary,"1800 BLOCK OF S WASATCH DR, SALT LAKE CITY, UT",40.7311897,-111.8150119,http://spotcrime.com/crime/47259462-94b5de426a78e314d32b69f662ead5e4,BURGLARY - NO FORCE ENTRY RESI
2014-01-01T22:57:00,Burglary,"7000 BLOCK OF S REDWOOD RD, SALT LAKE CITY, UT",40.6240088,-111.9388017,http://spotcrime.com/crime/47277632-9ec5eb17060af75c583e00d4b1aa2a14,BURGLARY - FORCED ENTRY RESIDE
2014-01-01T22:01:00,Burglary,"1600 BLOCK OF N SUN ARBOR TER, SALT LAKE CITY, UT",40.7736872,-111.9439224,http://spotcrime.com/crime/47277634-ee8b137b0e9a2ea89d6105cf3a179850,BURGLARY - NO FORCE ENTRY RESI
2014-01-01T21:08:00,Burglary,"1700 BLOCK OF S 200 E, SALT LAKE CITY, UT",40.7334984,-111.8853995,http://spotcrime.com/crime/47277635-4e5141dfd8852a1ab9bb11f541a58760,BURGLARY - FORCED ENTRY RESIDE
2014-01-01T10:41:00,Burglary,"7600 BLOCK OF S UNION PARK AVE, SALT LAKE CITY, UT",40.6133377,-111.8569347,http://spotcrime.com/crime/47277708-36761d0e47559d3247c289d8e44227c2,BURGLARY - NO FORCE ENTRY NON-
2014-01-01T17:27:00,Vandalism,"4900 BLOCK OF W WILEY POST WAY, SALT LAKE CITY, UT",40.7735333,-112.008346,http://spotcrime.com/crime/47259149-e6f092148c5fe560f71e3f6dc58c1d0f,DAMAGED PROPERTY  PRIVATE VEH
2014-01-01T14:05:00,Vandalism,"2000 BLOCK OF S WEST TEMPLE ST, SALT LAKE CITY, UT",40.7716003,-111.9478775,http://spotcrime.com/crime/47259213-e020a9677484fba305abaee7568c6105,DAMAGED PROPERTY  PRIVATE VEH
2014-01-01T11:18:00,Vandalism,"1700 BLOCK OF E 400 S, SALT LAKE CITY, UT",40.7606574,-111.9391309,http://spotcrime.com/crime/47259247-1caa4e02f003bf2e97044ee81f3defe4,DAMAGED PROPERTY  FREE TEXT
2014-01-01T13:11:00,Vandalism,"1600 BLOCK OF S 800 E, SALT LAKE CITY, UT",40.7347423,-111.8682108,http://spotcrime.com/crime/47259259-312583a91c806ecccec83bbc306188c6,DAMAGED PROPERTY  PUBLIC
